config,input_output,concurrency,num_prompts,completed,output_tok_s,total_tok_s,mean_ttft_ms,mean_tpot_ms,p99_tpot_ms,duration_s
c0_baseline,1024_1024,1,3,3,9.68,19.37,418.9,102.94,102.98,317.2
c0_baseline,1024_1024,20,20,20,139.02,278.05,2314.9,141.43,142.99,147.3
c0_baseline,1024_1024,50,50,50,245.84,491.68,3601.2,199.22,201.5,208.3
c0_baseline,1024_1024,100,100,100,328.63,657.25,5747.8,297.14,300.5,311.6
c0_baseline,200_300,1,3,3,9.6,15.99,763.0,102.01,102.1,93.8
c0_baseline,200_300,20,40,40,158.31,263.85,1305.1,122.25,125.3,75.8
c0_baseline,200_300,50,100,100,318.35,530.58,1928.6,150.64,155.49,94.2
c0_baseline,200_300,100,200,200,472.14,786.9,3040.4,201.14,213.2,127.1
c0_baseline,4096_1024,1,3,3,9.36,46.79,1546.6,105.44,105.57,328.2
c0_baseline,4096_1024,20,20,20,94.0,470.01,11549.4,199.81,208.76,217.9
c0_baseline,4096_1024,50,50,50,139.27,696.34,15645.5,338.74,350.01,367.6
c0_baseline,4096_1024,100,100,100,165.5,827.51,25619.9,567.27,584.62,618.7
c0_baseline,512_512,1,3,3,9.74,19.47,320.2,102.29,102.41,157.8
c0_baseline,512_512,20,40,40,149.82,299.64,1723.2,130.13,132.51,136.7
c0_baseline,512_512,50,100,100,285.05,570.1,2986.4,169.23,175.22,179.6
c0_baseline,512_512,100,200,200,401.91,803.82,5155.1,237.47,251.1,254.8
c0_baseline,8192_2048,1,2,2,9.04,45.18,2473.3,109.52,109.61,453.3
c0_baseline,8192_2048,20,20,20,70.46,352.32,21236.3,272.11,279.24,581.3
c0_baseline,8192_2048,50,50,50,93.47,467.33,25250.1,518.22,527.11,1095.6
c0_baseline,8192_2048,100,100,100,88.83,444.17,161606.0,829.1,992.3,2305.4
c10_tp2_int8kv,8192_2048,50,50,50,213.34,1066.72,53417.3,205.62,225.43,480.0
c1_tp2_numa,1024_1024,1,3,3,16.59,33.18,233.8,60.1,60.14,185.2
c1_tp2_numa,1024_1024,20,20,20,231.31,462.62,1665.5,84.81,85.87,88.5
c1_tp2_numa,1024_1024,50,50,50,423.32,846.63,3055.7,114.9,116.94,120.9
c1_tp2_numa,1024_1024,100,100,100,551.18,1102.36,3234.6,177.95,180.24,185.8
c1_tp2_numa,200_300,1,3,3,16.54,27.57,188.6,60.01,60.02,54.4
c1_tp2_numa,200_300,20,40,40,259.27,432.12,983.5,74.08,76.64,46.3
c1_tp2_numa,200_300,50,100,100,536.64,894.4,1212.5,89.21,91.22,55.9
c1_tp2_numa,200_300,100,200,200,748.87,1248.11,1908.9,127.17,135.24,80.1
c1_tp2_numa,4096_1024,1,3,3,16.05,80.24,778.8,61.61,61.67,191.4
c1_tp2_numa,4096_1024,20,20,20,163.27,816.34,7661.6,114.49,120.19,125.4
c1_tp2_numa,4096_1024,50,50,50,243.46,1217.29,15961.3,187.93,200.4,210.3
c1_tp2_numa,4096_1024,100,100,100,301.1,1505.48,12353.8,316.84,326.26,340.1
c1_tp2_numa,512_512,1,3,3,16.26,32.53,808.0,60.02,60.27,94.4
c1_tp2_numa,512_512,20,40,40,246.66,493.32,1323.2,78.6,80.61,83.0
c1_tp2_numa,512_512,50,100,100,467.43,934.86,2289.8,102.38,105.77,109.5
c1_tp2_numa,512_512,100,200,200,642.17,1284.34,3575.3,148.35,159.07,159.5
c1_tp2_numa,8192_2048,1,2,2,15.54,77.7,1236.6,63.77,63.79,263.6
c1_tp2_numa,8192_2048,20,20,20,126.9,634.51,12214.5,151.25,155.48,322.8
c1_tp2_numa,8192_2048,50,50,50,166.59,832.93,26506.6,285.6,295.41,614.7
c1_tp2_numa,8192_2048,100,100,100,173.85,869.23,20130.7,485.39,539.66,1178.1
c6_tp2_chunked,4096_1024,20,20,20,153.51,767.54,12789.8,116.31,123.79,133.4
c6_tp2_chunked,4096_1024,50,50,50,237.39,1186.93,11322.4,195.63,203.66,215.7
c6_tp2_chunked,8192_2048,20,20,20,125.81,629.05,13953.6,151.34,155.98,325.6
c6_tp2_chunked,8192_2048,50,50,50,174.55,872.74,14060.0,277.09,282.01,586.7
c7_tp4,1024_1024,50,50,50,396.87,793.75,4256.3,121.78,124.57,129.0
c7_tp4,512_512,50,100,100,426.36,852.73,4556.4,108.42,114.12,120.1
c7_tp4,8192_2048,50,50,50,150.48,752.38,52292.9,305.32,326.89,680.5
c8_tp2_bt1024,4096_1024,50,50,50,211.24,1056.2,34950.9,191.69,207.65,242.4
c8_tp2_bt1024,8192_2048,50,50,50,147.2,735.99,78175.1,287.48,302.7,695.7
c9_tp2_nochunk,4096_1024,50,50,50,227.83,1139.14,24489.2,194.64,213.26,224.7
c9_tp2_nochunk,8192_2048,50,50,50,165.71,828.57,27216.7,287.93,298.96,617.9
